Id,Category
0,0
1,1
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,0
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,1
127,0
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,1
159,1
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,0
176,1
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,0
196,1
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,1
250,1
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,1
259,1
260,0
261,0
262,1
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,0
278,1
279,1
280,0
281,0
282,1
283,0
284,0
285,0
286,0
287,1
288,0
289,1
290,1
291,0
292,0
293,1
294,0
295,0
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,1
304,1
305,0
306,0
307,1
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,0
325,1
326,0
327,0
328,0
329,1
330,0
331,0
332,1
333,0
334,1
335,0
336,1
337,1
338,0
339,0
340,0
341,0
342,1
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,1
363,0
364,0
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,1
374,1
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,1
391,1
392,0
393,0
394,0
395,0
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,0
404,0
405,1
406,0
407,1
408,1
409,1
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,1
448,0
449,0
450,1
451,1
452,1
453,0
454,0
455,0
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,1
464,1
465,1
466,1
467,0
468,1
469,0
470,0
471,0
472,1
473,1
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,1
482,1
483,0
484,0
485,1
486,1
487,1
488,1
489,0
490,1
491,0
492,1
493,0
494,1
495,0
496,0
497,0
498,1
499,1
500,1
501,0
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,0
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,0
531,1
532,1
533,1
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,1
542,1
543,0
544,0
545,1
546,1
547,0
548,0
549,0
550,1
551,1
552,0
553,1
554,0
555,1
556,1
557,0
558,1
559,1
560,1
561,1
562,0
563,0
564,1
565,0
566,0
567,0
568,1
569,1
570,0
571,1
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,1
586,0
587,0
588,1
589,1
590,1
591,1
592,0
593,1
594,0
595,1
596,0
597,0
598,0
599,0
600,1
601,0
602,1
603,0
604,0
605,1
606,0
607,0
608,1
609,0
610,0
611,1
612,1
613,1
614,0
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,1
624,1
625,0
626,0
627,0
628,1
629,0
630,0
631,0
632,1
633,1
634,0
635,1
636,1
637,0
638,0
639,0
640,1
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,1
651,1
652,0
653,1
654,0
655,0
656,0
657,0
658,1
659,0
660,1
661,0
662,0
663,0
664,0
665,1
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,1
675,1
676,1
677,0
678,1
679,1
680,0
681,0
682,1
683,0
684,0
685,1
686,0
687,1
688,1
689,0
690,1
691,0
692,0
693,1
694,1
695,0
696,0
697,0
698,1
699,0
700,0
701,1
702,0
703,1
704,1
705,0
706,1
707,0
708,0
709,0
710,1
711,0
712,0
713,0
714,1
715,1
716,1
717,0
718,0
719,0
720,0
721,1
722,0
723,1
724,0
725,0
726,1
727,1
728,1
729,1
730,1
731,0
732,0
733,0
734,1
735,0
736,0
737,0
738,1
739,1
740,1
741,0
742,1
743,1
744,1
745,0
746,1
747,1
748,0
749,1
750,0
751,0
752,0
753,0
754,1
755,0
756,1
757,1
758,0
759,0
760,0
761,1
762,0
763,0
764,1
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,1
773,1
774,0
775,0
776,0
777,1
778,0
779,0
780,0
781,0
782,0
783,1
784,0
785,1
786,1
787,0
788,1
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,1
797,0
798,0
799,1
800,1
801,1
802,0
803,1
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,1
812,0
813,0
814,1
815,0
816,0
817,1
818,0
819,0
820,0
821,0
822,0
823,0
824,1
825,1
826,0
827,0
828,0
829,1
830,1
831,1
832,0
833,0
834,1
835,0
836,0
837,1
838,0
839,1
840,1
841,0
842,0
843,0
844,0
845,0
846,0
847,1
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,1
861,0
862,1
863,0
864,1
865,0
866,0
867,1
868,0
869,0
870,1
871,0
872,0
873,1
874,1
875,0
876,0
877,0
878,1
879,1
880,1
881,1
882,0
883,0
884,1
885,0
886,1
887,1
888,0
889,0
890,1
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,1
899,0
900,1
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,1
911,0
912,0
913,1
914,0
915,1
916,0
917,0
918,0
919,0
920,1
921,1
922,0
923,0
924,1
925,1
926,0
927,0
928,1
929,0
930,0
931,0
932,0
933,1
934,1
935,0
936,1
937,0
938,1
939,0
940,0
941,0
942,0
943,0
944,1
945,0
946,1
947,1
948,1
949,0
950,1
951,0
952,0
953,1
954,0
955,1
956,0
957,1
958,1
959,1
960,1
961,1
962,0
963,1
964,0
965,1
966,1
967,1
968,0
969,0
970,1
971,1
972,0
973,0
974,1
975,0
976,0
977,1
978,0
979,0
980,1
981,0
982,0
983,0
984,1
985,1
986,0
987,1
988,0
989,0
990,0
991,0
992,0
993,1
994,0
995,1
996,1
997,0
998,0
999,0
1000,0
1001,1
1002,1
1003,0
1004,0
1005,0
1006,0
1007,1
1008,0
1009,1
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,1
1019,1
1020,0
1021,1
1022,0
1023,1
1024,1
1025,0
1026,0
1027,0
1028,1
1029,1
1030,0
1031,0
1032,1
1033,1
1034,1
1035,1
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,1
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
